country,status,iso3_code
Antigua and Barbuda,Member State,ATG
Bahamas,Member State,BHS
Barbados,Member State,BRB
Belize,Member State,BLZ
Dominica,Member State,DMA
Grenada,Member State,GRD
Guyana,Member State,GUY
Haiti,Member State,HTI
Jamaica,Member State,JAM
Montserrat,Member State,MSR
Saint Lucia,Member State,LCA
St Kitts and Nevis,Member State,KNA
St Vincent and the Grenadines,Member State,VCT
Suriname,Member State,SUR
Trinidad and Tobago,Member State,TTO
Anguilla,Associate Member,AIA
Bermuda,Associate Member,BMU
British Virgin Islands,Associate Member,VGB
Cayman Islands,Associate Member,CYM
Curaçao,Associate Member,CUW
Turks and Caicos Islands,Associate Member,TCA