country,iso3_code,region
Angola,AGO,Southern Africa
Antigua and Barbuda,ATG,Caribbean
Bahamas,BHS,Caribbean
Barbados,BRB,Caribbean
Belize,BLZ,Caribbean
Benin,BEN,West Africa
Botswana,BWA,Southern Africa
Burkina Faso,BFA,West Africa
Burundi,BDI,East Africa
Cabo Verde,CPV,West Africa
Cameroon,CMR,Central Africa
Central African Republic,CAF,Central Africa
Chad,TCD,Central Africa
Comoros,COM,East Africa
Congo,COG,Central Africa
Cook Islands,COK,Pacific
C̫te d'Ivoire,CIV,West Africa
Cuba,CUB,Caribbean
Democratic Republic of the Congo,COD,Central Africa
Djibouti,DJI,East Africa
Dominica,DMA,Caribbean
Dominican Republic,DOM,Caribbean
Equatorial Guinea,GNQ,Central Africa
Eritrea,ERI,East Africa
Eswatini,SWZ,Southern Africa
Ethiopia,ETH,East Africa
Fiji,FJI,Pacific
Gabon,GAB,Central Africa
Gambia,GMB,West Africa
Ghana,GHA,West Africa
Grenada,GRD,Caribbean
Guinea,GIN,West Africa
Guinea-Bissau,GNB,West Africa
Guyana,GUY,Caribbean
Haiti,HTI,Caribbean
Jamaica,JAM,Caribbean
Kenya,KEN,East Africa
Kiribati,KIR,Pacific
Lesotho,LSO,Southern Africa
Liberia,LBR,West Africa
Madagascar,MDG,East Africa
Malawi,MWI,Southern Africa
Mali,MLI,West Africa
Marshall Islands,MHL,Pacific
Mauritania,MRT,West Africa
Mauritius,MUS,East Africa
Micronesia,FSM,Pacific
Mozambique,MOZ,Southern Africa
Namibia,NAM,Southern Africa
Nauru,NRU,Pacific
Niger,NER,West Africa
Nigeria,NGA,West Africa
Niue,NIU,Pacific
Palau,PLW,Pacific
Papua New Guinea,PNG,Pacific
Rwanda,RWA,East Africa
Saint Lucia,LCA,Caribbean
Saint Vincent and the Grenadines,VCT,Caribbean
Samoa,WSM,Pacific
Sao Tome and Principe,STP,Central Africa
Senegal,SEN,West Africa
Seychelles,SYC,East Africa
Sierra Leone,SLE,West Africa
Solomon Islands,SLB,Pacific
Somalia,SOM,East Africa
South Africa,ZAF,Southern Africa
Sudan,SDN,East Africa
Suriname,SUR,Caribbean
Tanzania,TZA,East Africa
Timor-Leste,TLS,Pacific
Togo,TGO,West Africa
Tonga,TON,Pacific
Trinidad and Tobago,TTO,Caribbean
Tuvalu,TUV,Pacific
Uganda,UGA,East Africa
Vanuatu,VUT,Pacific
Zambia,ZMB,Southern Africa
Zimbabwe,ZWE,Southern Africa